Name,Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),No. of Trades
Tadawul All Share Index (TASI),03-15-2008,-,-,-,9548.06,152152297,5124200116,127384
Tadawul All Share Index (TASI),03-16-2008,-,-,-,9515.3,186125770,6605414875.25,121467
Tadawul All Share Index (TASI),03-17-2008,-,-,-,9318.59,160628360,5641732148.25,122562
Tadawul All Share Index (TASI),03-18-2008,-,-,-,9393.12,136757581,4903564596,103208
Tadawul All Share Index (TASI),03-19-2008,-,-,-,9344.43,215481335,7365544720,132229
Tadawul All Share Index (TASI),03-22-2008,-,-,-,9259.54,222595828,12526069659.25,931205
Tadawul All Share Index (TASI),03-23-2008,-,-,-,9215.94,128259847,5988894945.5,281400
Tadawul All Share Index (TASI),03-24-2008,-,-,-,9186.73,118691471,4563506618.5,193768
Tadawul All Share Index (TASI),03-25-2008,-,-,-,9313.24,180136611,7884186101,220683
Tadawul All Share Index (TASI),03-26-2008,-,-,-,9221.95,152292002,7106136616.5,203978
Tadawul All Share Index (TASI),03-29-2008,-,-,-,8992.26,110020732,4444237051.5,145109
Tadawul All Share Index (TASI),03-30-2008,-,-,-,8906.2,141283734,5659628332.25,153454
Tadawul All Share Index (TASI),03-31-2008,-,-,-,8992.53,132706018,5003093232.75,141708
Tadawul All Share Index (TASI),04-01-2008,-,-,-,8980.55,112182893,4364117961.5,128010
Tadawul All Share Index (TASI),04-02-2008,-,-,-,9181.21,199765788,7597907298.25,185807
Tadawul All Share Index (TASI),04-05-2008,9181.21,9424.64,9181.21,9408.81,203602221,8639184103.25,217093
Tadawul All Share Index (TASI),04-06-2008,9408.81,9456.17,9298.88,9307.06,193751657,7975067603.75,208520
Tadawul All Share Index (TASI),04-07-2008,9307.06,9410.45,9194.24,9410.18,166834103,7246638004,177176
Tadawul All Share Index (TASI),04-08-2008,9410.18,9495.07,9391.06,9423.58,185795237,8154008736.5,208764
Tadawul All Share Index (TASI),04-09-2008,9423.58,9501.72,9365.39,9501.72,146642422,6558285162,179285
Tadawul All Share Index (TASI),04-12-2008,9501.72,9566.32,9491.31,9552.63,191328534,9011483677.5,225100
Tadawul All Share Index (TASI),04-13-2008,9552.63,9570.82,9489.13,9562.23,185337419,7713399299.5,197987
Tadawul All Share Index (TASI),04-14-2008,9562.23,9621.22,9535.74,9604.2,167763393,7403628722.5,181534
Tadawul All Share Index (TASI),04-15-2008,9604.2,9645.64,9511.14,9522.93,179841039,7339722613.5,183078
Tadawul All Share Index (TASI),04-16-2008,9522.93,9661.66,9522.93,9630.37,216843745,8086357692.5,167487
Tadawul All Share Index (TASI),04-19-2008,9630.37,9692.36,9494.27,9497.16,253903918,10548897284,180054
Tadawul All Share Index (TASI),04-20-2008,9497.16,9522.79,9295.1,9521.61,258849103,11377375576.25,190413
Tadawul All Share Index (TASI),04-21-2008,9521.61,9670.17,9521.61,9638.79,355246829,13279939853.75,224276
Tadawul All Share Index (TASI),04-22-2008,9638.79,9693,9596.12,9692.96,310564378,12527898768.75,224413
Tadawul All Share Index (TASI),04-23-2008,9692.96,9820.74,9675.57,9754.1,298016778,11922919517,223469
Tadawul All Share Index (TASI),04-26-2008,9754.1,9915.02,9752.57,9902.74,289436013,10621535144.25,210655
Tadawul All Share Index (TASI),04-27-2008,9902.74,9957.48,9746.67,9766.27,271518476,9672947508.5,199130
Tadawul All Share Index (TASI),04-28-2008,9766.27,9908.82,9704.65,9907.12,218492376,8618123942.5,181168
Tadawul All Share Index (TASI),04-29-2008,9907.12,10099.21,9907.12,10089.52,283010629,11582770464.75,204830
Tadawul All Share Index (TASI),04-30-2008,10089.52,10098.76,9976.87,10066.16,269791286,11410021695.5,202587
Tadawul All Share Index (TASI),05-03-2008,10066.16,10121.67,9973.95,10057.69,204180989,9789881904.75,178901
Tadawul All Share Index (TASI),05-04-2008,10057.69,10064.34,9989.41,10055.23,200333227,8661238157.25,175947
Tadawul All Share Index (TASI),05-05-2008,10055.23,10077.73,9964.45,10030.62,192296041,8141535676,172189
Tadawul All Share Index (TASI),05-06-2008,10030.62,10048.56,9914,9926.63,246012959,9096881700.25,201918
Tadawul All Share Index (TASI),05-07-2008,9926.63,9926.63,9692.88,9771.85,180503087,7221737130.25,167923
Tadawul All Share Index (TASI),05-10-2008,9771.85,9777.69,9241,9502.96,234311524,9365432366,207531
Tadawul All Share Index (TASI),05-11-2008,9502.96,9709.44,9502.03,9695.29,181103746,7223874800.25,172797
Tadawul All Share Index (TASI),05-12-2008,9695.29,9749.34,9566.13,9615.05,174459836,6989022739.5,163550
Tadawul All Share Index (TASI),05-13-2008,9615.05,9766.23,9511.71,9749.53,173970922,6878463846.75,148800
Tadawul All Share Index (TASI),05-14-2008,9749.53,9815.14,9721.31,9783.19,184671085,7107155539.25,145934
Tadawul All Share Index (TASI),05-17-2008,9783.19,9801.65,9640.37,9664.54,232667544,6427012749,425291
Tadawul All Share Index (TASI),05-18-2008,9664.54,9716.54,9572.45,9646.44,172888824,5137071122,160213
Tadawul All Share Index (TASI),05-19-2008,9646.44,9675.1,9547.99,9630.65,216157009,8018037556.5,165543
Tadawul All Share Index (TASI),05-20-2008,9630.65,9706.02,9630.65,9673.25,183758746,6876836691.75,150150
Tadawul All Share Index (TASI),05-21-2008,9673.25,9716.96,9623.13,9672.62,184225901,7313772782.25,163538
Tadawul All Share Index (TASI),05-24-2008,9672.62,9698,9600.12,9665.78,232831471,8972660798.75,444080
Tadawul All Share Index (TASI),05-25-2008,9665.78,9767.67,9634.13,9715.31,209475255,8875935931.25,201985
Tadawul All Share Index (TASI),05-26-2008,9715.31,9724.83,9527,9553.26,183211447,8375498149.75,484897
Tadawul All Share Index (TASI),05-27-2008,9553.26,9575.1,9456.49,9482.25,136611540,5603326110.5,176155
Tadawul All Share Index (TASI),05-28-2008,9482.25,9510.2,9425.22,9491.31,136123307,5477569093,153999
Tadawul All Share Index (TASI),05-31-2008,9491.31,9540.04,9477.02,9529.34,125180352,5031312824.25,130031
Tadawul All Share Index (TASI),06-01-2008,9529.34,9560.23,9490.06,9503.28,115668768,4909440617,133825
Tadawul All Share Index (TASI),06-02-2008,9503.28,9560.83,9462.61,9516.57,188623587,6571669482.75,142422
Tadawul All Share Index (TASI),06-03-2008,9516.57,9525.36,9458.87,9501.92,945749676,15138642648,921981
Tadawul All Share Index (TASI),06-04-2008,9501.92,9674.67,9501.92,9661.48,498244027,13658349984.75,418469
Tadawul All Share Index (TASI),06-07-2008,9661.48,9842.3,9657.52,9765,375661221,12783166070.5,350134
Tadawul All Share Index (TASI),06-08-2008,9765,9816.47,9696.19,9737.31,664656299,15276688626,398624
Tadawul All Share Index (TASI),06-09-2008,9737.31,9839.17,9737.31,9777.04,383745087,12596226549.5,285041
Tadawul All Share Index (TASI),06-10-2008,9777.04,9844.81,9732.34,9766.37,448277142,12379044346.25,267231
Tadawul All Share Index (TASI),06-11-2008,9766.37,9782.57,9666.15,9688.45,390569157,11670995966.5,274028
Tadawul All Share Index (TASI),06-14-2008,9688.45,9734.78,9679.09,9708.78,291172753,10704589536,246770
Tadawul All Share Index (TASI),06-15-2008,9708.78,9745.63,9647.93,9687.09,302019049,11573558003.5,266883
Tadawul All Share Index (TASI),06-16-2008,9687.09,9782.19,9669.38,9782.19,249220584,9982788208.75,538251
Tadawul All Share Index (TASI),06-17-2008,9782.19,9836.75,9760.81,9814.94,315917594,10732233336,310990
Tadawul All Share Index (TASI),06-18-2008,9814.94,9836,9737.82,9778.48,254262046,9793531018.75,289899
Tadawul All Share Index (TASI),06-21-2008,9778.48,9798.31,9732.13,9768.54,254392870,9542069718.5,459644
Tadawul All Share Index (TASI),06-22-2008,9768.54,9832.07,9757.72,9801.99,307945444,10060967397.75,257312
Tadawul All Share Index (TASI),06-23-2008,9801.99,9835.55,9756.14,9789.91,246221288,7960279943,224004
Tadawul All Share Index (TASI),06-24-2008,9789.91,9811.43,9683.59,9731.8,228161001,7845846187.25,211327
Tadawul All Share Index (TASI),06-25-2008,9731.8,9736.55,9573.3,9581.34,208124361,7537139728.25,205869
Tadawul All Share Index (TASI),06-28-2008,9581.34,9583.32,9245.15,9313.4,256071895,8692517085,235222
Tadawul All Share Index (TASI),06-29-2008,9313.4,9402.52,9252.75,9324.36,221025420,7392858499,195978
Tadawul All Share Index (TASI),06-30-2008,9324.36,9399.05,9237.25,9352.32,162318197,6546534941.5,163387
Tadawul All Share Index (TASI),07-01-2008,9352.32,9396.7,9282.51,9385.19,186059185,6598690124.75,168175
Tadawul All Share Index (TASI),07-02-2008,9385.19,9474.78,9385.19,9467.68,173346449,6393426796.75,185338
